title,title count,genres,primaryGenre,contentRating,size,numberOfSupported,released,version,price,score,reviews,store
Lingvo Dictionary Offline,25,"[""Education"",""Reference""]",Education,17+,78672896,5,05/11/2010,3.32,0,3.5,542,appStore
LinkedIn Learning,17,"[""Education""]",Education,4+,82364416,3,22/09/2016,1.1.85,0,5,16622,appStore
Little Princess Coloring Book!,30,"[""Education"",""Games"",""Family"",""Puzzle""]",Education,4+,96352256,4,01/07/2012,4.5,0,4,2794,appStore
Little Speller - Three Letter Words LITE - Free Educational Game for Kids,73,"[""Education"",""Games""]",Education,4+,15233024,7,06/05/2011,2.1,0,4,389,appStore
LJ Events,9,,EDUCATION,4+,667000,9,16/06/2014,2.02,0,4.5,42,google store
Log Ln :Logarithm and Natural Logarithm Calculator,50,,EDUCATION,4+,2200000,7,21/08/2017,1,0,5,1,google store
LokSewa Nepal,13,"[""Education""]",Education,4+,41957376,4,01/07/2015,2.2,0,3,8,appStore
Lou & Lo Parent,15,,EDUCATION,4+,2800000,7,13/10/2016,1.0.3,0,4.5,1,google store
LP Old English,14,,EDUCATION,4+,576000,9,20/11/2012,1.3,3.99,4.5,9,google store
"LSAT: Practice,Prep,Flashcards",30,"[""Education"",""Reference""]",Education,4+,35956736,4,18/11/2014,1.6.6,0,5,1296,appStore
Lumosity: Daily Brain Games,27,"[""Education"",""Health & Fitness""]",Education,4+,398041088,4,20/06/2013,9.50.1,0,4.5,153488,appStore
Lynda.com,9,"[""Education"",""Productivity""]",Education,4+,81497088,5,25/02/2010,4.9.8,0,3.5,2666,appStore
Madar Al-Huruf,14,,EDUCATION,4+,5000000,7,25/11/2015,2.2.0,0,5,2,google store
Madinah Arabic App 1 - PRO,26,,EDUCATION,4+,21000000,9,02/06/2015,1,1.02,4,73,google store
Malayalam GK PSC 2018-19,24,,EDUCATION,4+,3500000,7,10/11/2016,1.2,0,4,40,google store
ManageBac,9,"[""Education"",""Productivity""]",Education,4+,25105408,4,16/04/2013,2.7.3,0,2.5,133,appStore
Mango Languages,15,"[""Education"",""Lifestyle""]",Education,12+,99585024,4,23/06/2011,3.1.16,0,4.5,1967,appStore
Manhattan Prep GMAT,19,"[""Education""]",Education,4+,128405504,3,16/10/2015,6.8.1,0,5,987,appStore
