title,title count,genres,primaryGenre,contentRating,size,numberOfSupported,released,version,price,score,reviews,store
Soal UN SMP MTS 2019 (UNBK),27,,EDUCATION,4+,3500000,7,12/07/2018,12,0,4.5,310,google store
Social Skills Pro,17,"[""Education"",""Lifestyle""]",Education,9+,6569984,5,22/02/2016,2.4,2.99,3.5,7,appStore
Socratic Math & Homework Help,29,"[""Education"",""Utilities""]",Education,9+,93642752,4,09/07/2015,4.8,0,5,34554,appStore
Software Testing,16,,EDUCATION,4+,6300000,7,26/08/2017,2.2,0,4.5,2,google store
Solar Eclipse VR,16,"[""Education"",""Entertainment""]",Education,4+,119984128,6,23/06/2017,1.07,0.99,3.5,12,appStore
Solar Walk - Planets Explorer,29,"[""Education"",""Entertainment""]",Education,4+,429941760,6,01/04/2010,2.4.4,4.99,4.5,8881,appStore
Solar Walk 2 - Planet Explorer,30,"[""Education"",""Reference""]",Education,4+,732040192,5,24/09/2015,1.5.9,2.99,4.5,2721,appStore
SoloLearn: Learn to Code,24,"[""Education"",""Social Networking""]",Education,4+,79469568,4,23/10/2017,2.4,0,5,24939,appStore
"Sora, by OverDrive",18,"[""Education"",""Books""]",Education,4+,22226944,4,08/05/2018,1.6.4,0,3.5,57,appStore
Space Images,12,"[""Education"",""Reference""]",Education,4+,66139136,5,20/01/2010,3.0.5,0,3.5,7786,appStore
Spacecraft 3D,13,"[""Education"",""Reference""]",Education,4+,310614016,5,11/07/2012,5.9,0,4,382,appStore
Spanish Advanced - Now You're Fluent,36,"[""Education""]",Education,4+,4170752,5,17/05/2011,1.2,0,3,27,appStore
Spanish Anywhere (Inglés donde quieras),40,"[""Education"",""Travel""]",Education,12+,14361600,5,21/11/2008,4.5.700,7.99,3.5,485,appStore
Spanish School Bus for Kids – Learn with Fun Vocab Games and Music,68,"[""Education"",""Games"",""Card""]",Education,4+,101974016,7,24/11/2013,1.2,0,4.5,1680,appStore
Spanish to English Dictionary Translator - Languix,50,"[""Education"",""Travel""]",Education,9+,9845760,6,06/06/2016,1.1,0,2.5,13,appStore
Spanish Vocabulary 24/7 Language Learning,41,"[""Education"",""Travel""]",Education,4+,5728256,4,15/08/2008,8.3.2,4.99,3.5,562,appStore
SpanishDict Translator,22,"[""Education"",""Reference""]",Education,4+,302706688,4,28/09/2009,4.41,0,4.5,73528,appStore
Speaky - Language Exchange,26,"[""Education"",""Productivity""]",Education,4+,68820992,4,14/06/2016,1.43.0,0,4,1033,appStore
Speech Essentials Therapy App,29,Education,EDUCATION,4+,42000000,7,14/09/2015,1.39,0,3,125,google store
Spelling Bee Lists 1000+ Spelling Tests Grade 1-12,50,"[""Education"",""Family"",""Games""]",Education,4+,137112576,5,10/06/2014,32.6,0,4,915,appStore
SR GLOBAL,9,,EDUCATION,4+,12000000,7,04/12/2018,1.0.44.1,0,5,1,google store
SS Academy Parents App,22,,EDUCATION,4+,7900000,7,06/07/2018,1.2,0,5,6,google store
St Michael's - Traralgon,24,,EDUCATION,4+,4200000,7,25/08/2013,2.0.2,0,3,1,google store
St. Anthony's High School,25,"[""Education""]",Education,17+,21731328,6,11/09/2015,3,0,3.5,6,appStore
Stack the Countries®,21,"[""Education"",""Family"",""Games""]",Education,4+,188645376,6,15/02/2011,2.8,2.99,4.5,3496,appStore
Stack the States®,18,"[""Education"",""Games"",""Family""]",Education,4+,132617216,7,13/09/2010,2.7,2.99,4.5,13276,appStore
Star Chart,10,"[""Education"",""Reference""]",Education,4+,28616704,6,23/12/2009,3.98,0,4.5,15002,appStore
Star Walk - Explore the Sky,27,"[""Education"",""Entertainment""]",Education,4+,162538496,4,05/11/2008,7.3.0,0,4.5,24367,appStore
Star Walk 2 - Night Sky Map,27,"[""Education"",""Reference""]",Education,4+,268904448,4,21/08/2014,2.7.3,2.99,4.5,28677,appStore
Star Walk 2 Ads+: Sky Guide,27,"[""Education"",""Reference""]",Education,4+,262126592,4,08/07/2016,2.7.2,0,4.5,20612,appStore
Star Walk Kids ⭐️ Become a Space Explorer ⭐️,52,Education,EDUCATION,4+,16000000,7,12/03/2015,1.1.2,2.99,4.5,131,google store
Starfall FREE,13,"[""Education"",""Games""]",Education,4+,94261248,8,18/10/2013,1.26.010,0,4,1756,appStore
Starfall Learn to Read,22,"[""Education"",""Games"",""Music""]",Education,4+,107464704,7,28/08/2012,3.11,0,4,527,appStore
StarMap 3D+ Plus,16,"[""Education"",""Reference""]",Education,4+,224800768,3,25/01/2010,3.7.4,2.99,4.5,2837,appStore
State The States and Capitals,29,"[""Education"",""Reference""]",Education,4+,156982272,5,29/10/2015,1.6.2,0,4,599,appStore
States and Capitals Quiz !,26,"[""Education"",""Puzzle"",""Games""]",Education,4+,19842048,5,21/11/2012,1.9,0,4,468,appStore
Statistical Quality Control(L),30,,EDUCATION,4+,1400000,8,29/07/2014,1.0.6,0,3.5,6,google store
StudentVUE,10,"[""Education""]",Education,4+,47774720,4,30/12/2010,6,0,3,1586,appStore
Study.com,9,"[""Education"",""Reference""]",Education,4+,45748224,5,04/09/2016,1.12.1,0,4,529,appStore
StudyBlue,9,"[""Education"",""Productivity""]",Education,4+,99126272,4,05/08/2009,8.64,0,4.5,13116,appStore
SubAlert for Frontline Ed,25,"[""Education"",""Utilities""]",Education,4+,8236032,4,10/09/2012,4,0,4.5,5620,appStore
Sumdog,6,"[""Education""]",Education,4+,89587712,4,09/09/2016,35.0.2,0,4,522,appStore
Sunny School Stories,20,"[""Education"",""Games"",""Family"",""Simulation""]",Education,4+,101389312,6,22/04/2018,1.0.3,0,4,407,appStore
Super EF,8,,EDUCATION,4+,89000000,7,16/09/2017,1,0,4.5,8,google store
Sushi Monster,13,"[""Education"",""Games"",""Family""]",Education,4+,102662144,8,16/04/2012,1.7.4,0,4,1294,appStore
Sweet Home Stories,18,"[""Education"",""Family"",""Games""]",Education,4+,88241152,6,24/02/2017,1.2.0,0,4,591,appStore
Talk to Me in Korean Lessons+,29,"[""Education"",""Travel""]",Education,4+,46296064,4,29/10/2015,2.1.5,0,5,1570,appStore
Tandem - Language Exchange,26,"[""Education"",""Travel""]",Education,12+,192084992,3,20/02/2015,3,0,4.5,3494,appStore
TapSpeak Sequence Standard,26,"[""Education"",""Medical""]",Education,4+,102045696,5,02/07/2010,3.2.0,29.99,3.5,16,appStore
Tayo Job Game (Lite),20,"[""Education""]",Education,4+,21566464,4,02/03/2016,1.0.5,0,3.5,6,appStore
Teacher's Handbook,18,"[""Education"",""Productivity""]",Education,4+,9009707,9,01/02/2013,1.1,0,1.5,9,appStore
TeacherEase - Parents/Students,30,"[""Education""]",Education,4+,19861504,4,01/06/2017,1.5,0,3.5,23,appStore
TeacherKit,10,"[""Education"",""Productivity""]",Education,4+,350764032,4,05/10/2010,2.11.1,0,4,3691,appStore
TeachMe: 1st Grade,18,"[""Education"",""Games"",""Family""]",Education,4+,91396096,5,11/11/2010,4.0.4,1.99,4,795,appStore
TeachMe: 2nd Grade,18,"[""Education"",""Family"",""Games""]",Education,4+,142761984,5,07/02/2012,2.0.6,1.99,4,404,appStore
TeachMe: Kindergarten,21,"[""Education"",""Games"",""Family""]",Education,4+,60921856,5,12/11/2009,4.2.4,1.99,4,2583,appStore
TED,3,"[""Education"",""Entertainment""]",Education,9+,6205712,3,14/10/2010,5.5.1,0,4,40271,appStore+google store
Teens Vipassana OS,18,,EDUCATION,4+,88000000,7,08/06/2018,1.0.2,0,5,0,google store
TeleStory,9,"[""Education"",""Games"",""Family""]",Education,4+,353394688,6,09/10/2014,1.5.1,0,4,439,appStore
Tennessee DMV Permit TEST - TN,30,,EDUCATION,4+,33000000,6,19/03/2015,6.0.2,0,4,46,google store
Testing Interview Questions,27,,EDUCATION,4+,2700000,5,21/07/2018,1.3,0,5,0,google store
Texas A&M University,20,"[""Education""]",Education,17+,20518912,4,09/06/2009,4.5,0,3.5,1146,appStore
Texas Driver Ed,15,"[""Education""]",Education,12+,27228160,3,25/09/2018,1.2.11,0,3.5,7,appStore
TF: Warning Lights,18,,EDUCATION,4+,1500000,12,14/07/2014,1.2.3,0,3.5,1578,google store
The ASL App,11,"[""Education"",""Reference""]",Education,12+,205169664,3,19/05/2015,2.9,0,4,677,appStore
The Elements by Theodore Gray,29,"[""Education"",""Books""]",Education,4+,1690269696,3,01/04/2010,3.0.2,8.99,4,2026,appStore
The Fourth Dimension,20,"[""Education"",""Books""]",Education,4+,6728704,4,19/03/2012,1.9,2.99,5,1631,appStore
The Great Courses,17,"[""Education"",""Lifestyle""]",Education,4+,61097984,4,29/04/2013,5.4,0,4.5,4245,appStore
The Great Courses Plus,22,"[""Education"",""Lifestyle""]",Education,4+,48398336,3,12/10/2015,3.1,0,5,8857,appStore
The Homework App,16,"[""Education"",""Productivity""]",Education,4+,119589888,3,11/11/2012,9.9.9,0,4.5,4734,appStore
The Human Body by Tinybop,25,"[""Education"",""Family"",""Games""]",Education,4+,666243072,6,15/08/2013,3.0.3,3.99,4,2071,appStore
The NSLS,8,"[""Education"",""Business""]",Education,4+,30728192,3,09/11/2015,1.9,0,5,565,appStore
The Official GRE® Guide,24,"[""Education"",""Reference""]",Education,4+,42596352,5,14/03/2013,3.3.01,4.99,2.5,128,appStore
The PE Geek,11,"[""Education"",""Reference""]",Education,4+,70378496,3,30/01/2012,32,0,3,9,appStore
The Robot Factory by Tinybop,28,"[""Education"",""Simulation"",""Games"",""Family""]",Education,4+,370301952,5,08/04/2015,1.2.0,2.99,4,531,appStore
Thi THPT QG 2019,16,,EDUCATION,4+,3800000,7,23/09/2018,1.2,0,3.5,0,google store
Thingspeak WR,13,,EDUCATION,4+,4200000,7,20/07/2018,1.0.0,0,4,0,google store
Thinkrolls,10,"[""Education"",""Games"",""Puzzle""]",Education,4+,65236992,5,16/10/2014,1.4.1,3.99,4.5,4233,appStore
Thinkrolls 2,12,"[""Education"",""Puzzle"",""Games"",""Family""]",Education,4+,58099712,5,25/03/2015,1.2.8,3.99,4.5,1705,appStore
Third Grade Learning Games,26,"[""Education"",""Games"",""Family""]",Education,4+,60617728,5,08/05/2013,3.2,0,4.5,3493,appStore
This is Nevada,14,,EDUCATION,4+,36000000,7,20/02/2013,3.4.59,0,4.5,31,google store
Thunkable Aia,13,,EDUCATION,4+,4700000,7,24/01/2018,19.1,0,3.5,36,google store
Thunkable and appybuilder aia files 2018,40,,EDUCATION,4+,4000000,7,16/02/2018,1.8,0,3.5,33,google store
TI-84 CE Graphing Calculator Manual TI 84,41,,EDUCATION,4+,28000000,7,08/01/2017,1.5.7,4.99,3,2,google store
TI-84 Graph. Calculator Manual,30,"[""Education"",""Utilities""]",Education,4+,200690688,4,13/12/2017,1,4.99,1,48,appStore
TI84 CE Graph Calculator Man.,29,"[""Education"",""Reference""]",Education,4+,42706944,4,10/01/2017,1.5.6,4.99,3,88,appStore
Ticks and Tots,14,"[""Education""]",Education,4+,32778240,5,20/03/2016,1.2.7,0,3.5,10,appStore
"Times Tables Quiz - Fun multiplication math game for adults, kids, middle school, 3rd, 4th, 5td, 6th, 7th grade",111,"[""Education"",""Games""]",Education,4+,3727360,6,02/03/2016,1,1.99,3.5,34,appStore
Times Tables Quiz!,18,"[""Education"",""Games"",""Trivia""]",Education,4+,30911488,4,06/06/2011,1.9.8,0,4,1824,appStore
Tinycards - Fun Flashcards,26,"[""Education"",""Social Networking""]",Education,4+,45349888,5,18/07/2016,1.0.29,0,4.5,2285,appStore
TinyTap -  Educational Games,28,"[""Education"",""Puzzle"",""Games"",""Family""]",Education,4+,99696640,4,18/05/2012,3.5.3,0,4.5,3372,appStore
TinyTap - Educational kids games made by teachers,49,Education,EDUCATION,4+,47000000,7,29/04/2014,3.0.0.14-7,0,3.5,884,google store
Titanic VR,10,"[""Education"",""Simulation"",""Games""]",Education,4+,458147840,3,31/01/2017,1.02,0.99,3,9,appStore
TO-FU Oh!SUSHI,14,Pretend Play,EDUCATION,4+,92000000,6,22/11/2016,2.3,0,4,31807,google store
Toca Band,9,"[""Education"",""Music""]",Education,4+,324081664,7,19/09/2012,1.0.8,3.99,4.5,3343,appStore
Toca Birthday Party,19,"[""Education"",""Entertainment""]",Education,4+,101498880,7,13/10/2011,1.0.8,3.99,4,1149,appStore
Toca Boo,8,"[""Education"",""Entertainment""]",Education,4+,215514112,7,23/10/2014,1.0.5,3.99,4,585,appStore
Toca Builders,13,"[""Education"",""Entertainment""]",Education,4+,87497728,7,19/06/2013,1.0.10,3.99,4.5,5308,appStore
Toca Cars,9,"[""Education"",""Entertainment""]",Education,4+,96971776,7,18/09/2013,1.0.6,3.99,4,1292,appStore
Toca Dance Free,15,"[""Education"",""Entertainment""]",Education,4+,87665664,6,30/03/2016,1.0.2,0,4,374,appStore
Toca Doctor,11,"[""Education"",""Entertainment""]",Education,4+,29364224,7,28/04/2011,1.1.5,3.99,4,412,appStore
Toca Doctor Lite,16,"[""Education"",""Entertainment""]",Education,4+,17184768,7,05/05/2011,1.0.3,0,3,487,appStore
Toca Hair Salon,15,"[""Education"",""Entertainment""]",Education,4+,44183552,7,07/06/2011,1.2.8,3.99,4,9912,appStore
Toca Hair Salon - Christmas,27,"[""Education"",""Entertainment""]",Education,4+,33384448,7,01/12/2011,1.0.10,0,4,8630,appStore
Toca Hair Salon 2,17,"[""Education"",""Entertainment""]",Education,4+,92584960,7,13/12/2012,1.1.6,3.99,4.5,23789,appStore
Toca House,10,"[""Education"",""Entertainment""]",Education,4+,85241856,7,23/02/2012,1.0.9,3.99,4,3199,appStore
Toca Kitchen,12,"[""Education"",""Entertainment""]",Education,4+,61984768,7,15/12/2011,1.1.6,3.99,4,3823,appStore
Toca Kitchen 2,14,"[""Education"",""Entertainment""]",Education,4+,111774720,7,18/12/2014,1.2.2,3.99,4,2375,appStore
Toca Kitchen Monsters,21,"[""Education"",""Entertainment""]",Education,4+,64534528,7,05/04/2012,1.0.6,0,4,8851,appStore
Toca Life: City,15,"[""Education"",""Entertainment""]",Education,4+,267153408,5,25/06/2015,1.5.1,3.99,4.5,7021,appStore
Toca Life: Hospital,19,"[""Education"",""Entertainment""]",Education,4+,268056576,5,12/04/2017,1.1.2,3.99,4.5,2761,appStore
Toca Life: Office,17,"[""Education"",""Entertainment""]",Education,4+,264357888,5,20/09/2017,1.1.1,3.99,4.5,1998,appStore
Toca Life: Pets,15,"[""Education"",""Entertainment""]",Education,4+,264347648,5,06/12/2017,1.1.1,3.99,4.5,1819,appStore
Toca Life: School,17,"[""Education"",""Entertainment""]",Education,4+,249806848,5,28/10/2015,1.4.1,3.99,4.5,2655,appStore
Toca Life: Town,15,"[""Education"",""Entertainment""]",Education,4+,248864768,5,29/05/2014,1.5.1,3.99,4.5,3983,appStore
Toca Life: Vacation,19,"[""Education"",""Entertainment""]",Education,4+,268644352,5,15/06/2016,1.2.1,3.99,4.5,2707,appStore
Toca Life: World,16,"[""Education"",""Entertainment""]",Education,4+,604664832,5,21/11/2018,1.2.2,0,4.5,3870,appStore
Toca Mini,9,"[""Education"",""Entertainment""]",Education,4+,532777984,7,24/10/2013,1.0.4,3.99,4,644,appStore
Toca Nature,11,"[""Education"",""Entertainment""]",Education,4+,137025536,7,13/11/2014,1.0.3,3.99,4,1040,appStore
Toca Pet Doctor,15,"[""Education"",""Entertainment""]",Education,4+,330179584,7,27/02/2014,1.0.5,3.99,4,434,appStore
Toca Robot Lab,14,"[""Education"",""Entertainment""]",Education,4+,64247808,7,14/07/2011,1.2.4,3.99,4,1076,appStore
Toca Store,10,"[""Education"",""Entertainment""]",Education,4+,69487616,7,06/10/2011,1.1.6,3.99,4,1665,appStore
Toca Tailor,11,"[""Education"",""Entertainment""]",Education,4+,57997312,7,25/10/2012,1.0.8,3.99,4.5,4142,appStore
Toca Tailor Fairy Tales,23,"[""Education"",""Entertainment""]",Education,4+,53286912,7,29/11/2012,1.0.5,0,4.5,5466,appStore
Toca Train,10,"[""Education"",""Games"",""Family""]",Education,4+,81460224,7,14/06/2012,1.0.6,3.99,4,1476,appStore
Toddler educational games,25,"[""Education"",""Puzzle"",""Games"",""Board""]",Education,4+,92170240,5,08/01/2014,2.5.0,0,5,1447,appStore
Toddler games 4 preschool kids,30,"[""Education"",""Games"",""Family"",""Puzzle""]",Education,4+,187742208,5,12/12/2015,3.2.1,0,4.5,8846,appStore
Toddler games for 2 year olds.,30,"[""Education"",""Games"",""Trivia"",""Family""]",Education,4+,98916352,5,27/10/2012,2.2.8,0,4.5,1691,appStore
Toddler games for 2+ year olds,30,"[""Education"",""Games""]",Education,4+,73715712,5,11/12/2016,1.12.1,0,4.5,10140,appStore
Toddler games for 3 year olds,29,"[""Education"",""Games""]",Education,4+,69957632,5,31/10/2017,1.10.2,0,4.5,8562,appStore
Toddler games for girls & boys,30,"[""Education"",""Puzzle"",""Family"",""Games""]",Education,4+,63131648,5,22/11/2015,1.27,0,4.5,6156,appStore
Toddler kids games ABC learning for preschool free,50,"[""Education"",""Games"",""Family""]",Education,4+,59645952,7,08/07/2015,1.1.5,0,3.5,67,appStore
Toddler Learning Games,22,"[""Education"",""Trivia"",""Games"",""Family""]",Education,4+,446256128,4,05/05/2012,3.1.0,0,4.5,1957,appStore
Toddler puzzle games for kids,29,"[""Education"",""Games"",""Family"",""Puzzle""]",Education,4+,141666304,5,22/05/2016,2.26,0,4.5,27380,appStore
"Toddler’s Farm Animals sounds, Baby Animal Puzzles",52,"[""Education"",""Games""]",Education,4+,109337600,6,18/12/2010,2.2.1,0,4,1683,appStore
Toonia Colorbook - Educational Coloring Game for Kids & Toddlers,64,"[""Education"",""Games"",""Family""]",Education,4+,68323328,6,07/05/2013,3.1,0,4.5,6564,appStore
Toontastic 3D,13,"[""Education"",""Games"",""Family""]",Education,4+,307267584,4,11/01/2017,1.0.5,0,4,490,appStore
Top Hat Lecture,15,"[""Education"",""Productivity""]",Education,4+,109041664,3,23/07/2013,5.55.0,0,4.5,13710,appStore
TorahAnytime.com,16,"[""Education""]",Education,4+,17347584,5,03/08/2014,1.8,0,5,1038,appStore
Total Quality Management (TQM),30,,EDUCATION,4+,7700000,7,12/05/2014,5.6,0,4,44,google store
TR-737-800 Type Rating Quiz,27,,EDUCATION,4+,2000000,6,15/04/2017,1,3.99,3,3,google store
"Trace Letters, Capital&Junior",29,"[""Education"",""Utilities""]",Education,4+,26910720,7,02/05/2014,1.6,0,1.5,11,appStore
Train Builder: Kids Train Game,30,"[""Education"",""Entertainment""]",Education,4+,131358720,6,15/07/2015,1.0.5,0,4,502,appStore
trainchinese,12,"[""Education"",""Reference""]",Education,4+,242337792,3,12/10/2009,9.35,0,4,368,appStore
Trench Experience VR,20,"[""Education""]",Education,4+,154849280,7,04/04/2016,1,0,3.5,14,appStore
Tri-C Mobile,12,"[""Education"",""Productivity""]",Education,17+,64307200,6,17/08/2011,3.8.1,0,2.5,40,appStore
Truck Driving Test Class 3 BC,29,,EDUCATION,4+,2000000,10,08/04/2012,1,1.49,1,1,google store
TrueFire Guitar Lessons,23,"[""Education"",""Music""]",Education,4+,145566720,4,24/07/2014,4.3,0,4.5,2709,appStore
Tu Dien Anh Viet English-Vietnamese Dictionary,46,"[""Education"",""Reference""]",Education,4+,84635648,6,02/11/2010,3.2,0.99,2,17,appStore
Tumaini Library - O Level and A Level Study Notes,49,,EDUCATION,9+,4500000,7,15/10/2018,2.1.1,0,5,4,google store
U-Dictionary: Translate & Learn English,39,,EDUCATION,9+,26000000,7,20/03/2016,4.0.6,0,4.5,99951,google store
U.S Army,8,,EDUCATION,4+,54000000,5,06/11/2017,4.0.0,0,5,3,google store
UA Safety,9,,EDUCATION,4+,7400000,5,18/04/2017,1.0.6,0,5,1,google store
UA Student,10,,EDUCATION,4+,3200000,5,17/02/2015,3.2,0,3.5,19,google store
UAS - Mark Entry App,20,,EDUCATION,4+,4500000,7,19/03/2018,1,0,5,0,google store
UB Campus Virtual,17,,EDUCATION,4+,15000000,7,30/08/2016,3.3.1,0,3.5,47,google store
UB Mannheim,11,,EDUCATION,4+,1800000,7,05/09/2015,2.1.3,0,5,5,google store
UB Solar Strand,15,,EDUCATION,4+,6100000,10,20/04/2015,1.2,0,3,0,google store
UC Berkeley Mobile,18,"[""Education""]",Education,4+,20812800,4,11/01/2011,3.2,0,3,49,appStore
UC Chemicals,12,"[""Education"",""Productivity""]",Education,4+,11694624,5,07/01/2016,1.0.7,0,2.5,26,appStore+google store
UC Davis,8,,EDUCATION,4+,658000,8,20/08/2012,10.0.0.2,0,4,11,google store
UC San Diego,12,"[""Education""]",Education,4+,18607104,5,10/06/2009,6.1.2,0,3.5,530,appStore
UC@Mobile,9,,EDUCATION,4+,6200000,7,13/10/2015,0.1.0,0,4,15,google store
UCLA Music Theory,17,"[""Education"",""Music""]",Education,4+,28298240,6,17/11/2015,1,0,3.5,14,appStore
UCSB - UC Santa Barbara,23,"[""Education"",""Social Networking""]",Education,12+,204375040,3,18/09/2016,6.2.5,0,3,6,appStore
Ud'A,4,,EDUCATION,4+,9700000,6,01/08/2017,8.5.0,0,3.5,41,google store
Udacity,7,"[""Education"",""Reference""]",Education,4+,179388416,3,19/03/2014,5.3.1,0,4.5,10110,appStore
Udemy - Online Courses,22,"[""Education"",""Productivity""]",Education,4+,121418752,3,16/10/2012,4.5.0,0,4.5,25894,appStore
UGA,3,"[""Education""]",Education,4+,60974080,4,15/04/2013,4.1.4,0,2.5,103,appStore
UI Design for Android,21,,EDUCATION,4+,1900000,9,22/10/2013,1,0,4,731,google store
UK Birds Sounds Free,20,,EDUCATION,4+,28000000,6,16/04/2013,5.4,0,4,196,google store
UL-Trainer,10,,EDUCATION,4+,11000000,7,22/09/2016,200028,5.49,4,14,google store
UltiPro Learning Mobile,23,"[""Education"",""Business""]",Education,12+,76862464,4,09/10/2017,6.0.1,0,2.5,27,appStore
UNICEF Kid Power,16,"[""Education"",""Health & Fitness""]",Education,4+,100438016,4,29/11/2015,2.1.7,0,3,389,appStore
University of Alabama,21,,EDUCATION,4+,3000000,7,13/06/2011,3.3,0,4.5,71,google store
University of Central Arkansas,30,"[""Education""]",Education,12+,28144640,4,06/10/2010,5.1.1,0,2.5,71,appStore
University of Florida,21,"[""Education""]",Education,4+,3287040,5,30/05/2013,2.0.0,0,2.5,42,appStore
University of Houston Law Center,32,,EDUCATION,4+,8800000,7,10/04/2018,1.0.7,0,5,0,google store
University of Michigan,22,"[""Education"",""Navigation""]",Education,4+,47387648,4,09/07/2010,5.8.0,0,3,244,appStore
University of Phoenix Mobile,28,"[""Education"",""Productivity""]",Education,4+,21897216,6,25/04/2011,3.4,0,2.5,1441,appStore
University Rankings | Top Universities 2018,43,,EDUCATION,4+,5500000,7,05/03/2018,2,0,2,1,google store
Unlock Han Zi,13,,EDUCATION,4+,61000000,7,31/03/2017,1.5,0,2.5,16,google store
UNLV Mobile,11,"[""Education""]",Education,4+,3010560,7,12/12/2012,2,0,2.5,59,appStore
UR SLC,6,,EDUCATION,4+,30000000,5,10/05/2018,6.2.5.1,0,3.5,1,google store
US Citizenship Test - 2018,26,"[""Education"",""Lifestyle""]",Education,4+,70085632,4,19/10/2015,2.03,0,5,323,appStore
US Citizenship Test (USCIS),27,"[""Education"",""Reference""]",Education,4+,75316224,4,23/09/2011,4.102,0,4.5,1917,appStore
US Citizenship Test 2019 Audio,30,"[""Education"",""Utilities""]",Education,4+,88890368,5,25/04/2016,1.8,0,5,19041,appStore
US Citizenship Test 2019 PRO,28,,EDUCATION,4+,41000000,7,08/05/2017,2.04,2.99,5,3,google store
US Citizenship Test 2019 USCIS,30,"[""Education"",""Lifestyle""]",Education,4+,90299392,5,20/03/2011,3.1.0,0,5,3456,appStore
US Cop,6,"[""Education"",""Reference""]",Education,17+,104729600,6,11/10/2010,3.9,5.99,5,655,appStore
US Driving Knowledge Test 2018,30,"[""Education""]",Education,12+,10061824,6,18/04/2014,1.8,0,4.5,3050,appStore
USA for Kids - Games & Fun with the U.S. Geography,50,"[""Education"",""Games"",""Trivia""]",Education,4+,105801728,7,21/06/2013,2.3,0,3,75,appStore
USCCA Concealed Carry App,25,"[""Education"",""Lifestyle""]",Education,17+,125441024,3,15/03/2017,1.0.26,0,3.5,129,appStore
USMLE LANGE Q&A for Ob Gyn,26,,EDUCATION,4+,20000000,5,03/02/2014,4.60.2172,0,4,11,google store
USMLE Step 2 CK Flashcards,26,,EDUCATION,4+,40000000,9,29/11/2013,2.47,19.99,5,1,google store
UT Dallas,9,,EDUCATION,4+,619000,8,13/03/2014,10.0.0.2,0,4,1,google store
UT Escuinapa,12,,EDUCATION,4+,1500000,7,15/10/2018,1,0,5,1,google store
UT Martin,9,,EDUCATION,4+,4200000,7,10/09/2012,5.0.0,0,4,22,google store
UT Online Mobile Learning,25,,EDUCATION,4+,8000000,7,25/06/2016,3.1.0,0,4.5,248,google store
UT Pangkalpinang,16,,EDUCATION,4+,4200000,5,07/11/2018,2.5.2,0,5,3,google store
uTalk - Learn Any Language,26,"[""Education"",""Travel""]",Education,4+,181921792,5,30/06/2016,2.09.1,0,3,41,appStore
UVU,3,"[""Education""]",Education,4+,40865792,4,22/12/2011,4.4.1,0,3,34,appStore
UW Journey,10,,EDUCATION,4+,28000000,7,09/06/2017,1.7,0,4,1,google store
UWorld USMLE,12,"[""Education"",""Medical""]",Education,17+,71592960,4,20/05/2015,8.1.1,0,4,406,appStore
Valencia College,16,"[""Education""]",Education,17+,36083712,3,10/05/2012,5.2.0.2,0,2,83,appStore
Vanido: Learn to sing,21,"[""Education"",""Music""]",Education,4+,58110976,3,14/11/2016,0.6.0,0,4.5,8938,appStore
Varsity Tutors Live Tutoring,28,"[""Education"",""Reference""]",Education,4+,124465152,4,30/12/2015,1.7.5,0,5,8633,appStore
VCU Mobile,10,"[""Education""]",Education,4+,20637696,4,18/07/2010,6.1,0,3.5,79,appStore
VD Chatbot,10,,EDUCATION,4+,2700000,7,05/09/2018,1.8,0,5,1,google store
Vehicle Fun - Preschool Games,29,"[""Education"",""Games"",""Puzzle"",""Family""]",Education,4+,64698368,4,22/03/2012,4.7,0,4,597,appStore
Veracross Directory for Admins,30,"[""Education"",""Productivity""]",Education,4+,17170432,5,15/06/2011,1.6,0,2.5,5,appStore
Vernier Graphical Analysis 4,28,"[""Education"",""Utilities""]",Education,4+,26303488,2,11/08/2018,4.7.1,0,2.5,18,appStore
Vernier Graphical Analysis GW,29,"[""Education"",""Utilities""]",Education,4+,19140608,2,06/05/2012,4.0.5,0,3,148,appStore
Vernier Video Physics,21,"[""Education"",""Photo & Video""]",Education,4+,32622592,4,07/09/2010,3.1.1,4.99,3.5,83,appStore
VEX via,7,"[""Education"",""Reference""]",Education,4+,3501056,5,08/04/2011,4.2.4,0,3,60,appStore
Vietnamese Dictionary Offline,29,"[""Education"",""Reference""]",Education,4+,105512960,6,14/12/2012,4.3,0,4.5,6953,appStore
Virginia Tech Tree ID,21,,EDUCATION,4+,5400000,5,04/09/2012,6.0.35,0,3.5,279,google store
VirginiaDMV,11,"[""Education"",""Business""]",Education,4+,11148288,3,05/10/2012,2,0,2,65,appStore
Visuelles Wörterbuch Audio-App,31,,EDUCATION,4+,66000000,7,15/01/2018,1.1.6,0,3,133,google store
VIVA HM,7,,EDUCATION,4+,6000000,6,20/10/2018,1,0,5,0,google store
VM Simulator,12,,EDUCATION,4+,10000000,7,11/10/2016,1.0.6,1.49,3.5,7,google store
VMBO-BK,7,,EDUCATION,4+,34000000,7,23/09/2014,1.4,0,2.5,109,google store
VOA Special English Listening,29,"[""Education"",""News""]",Education,4+,58675200,4,01/04/2016,2.4,0,5,1719,appStore
VOAPod: Learn English with VOA,30,"[""Education"",""News""]",Education,4+,57438208,4,09/07/2014,4.4,0,5,3355,appStore
Vocabology - Word of the Day,28,"[""Education"",""Reference""]",Education,9+,8867840,6,13/08/2010,7.1,0.99,4.5,14753,appStore
